City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last three hours),Snow inches (last three hours)
28,Atherton,AU,2019-11-11 01:30:02,-17.27,145.48,87.01,58,0,9.28,clear sky,0.0,0.0
29,Sitka,US,2019-11-11 01:30:03,37.17,-99.65,51.01,55,100,4.0,overcast clouds,0.0,0.0
30,Kitgum,UG,2019-11-11 01:30:11,3.3,32.88,67.87,77,4,1.52,clear sky,0.0,0.0
31,Arica,CL,2019-11-11 01:30:15,-18.48,-70.32,66.2,68,85,3.36,overcast clouds,0.0,0.0
32,Lompoc,US,2019-11-11 01:30:17,34.64,-120.46,64.0,87,90,9.17,overcast clouds,0.0,0.0
33,Zhezkazgan,KZ,2019-11-11 01:30:18,47.8,67.71,12.2,85,53,4.47,broken clouds,0.0,0.0
34,Awjilah,LY,2019-11-11 01:30:25,29.14,21.3,68.27,41,58,11.65,broken clouds,0.0,0.0
35,Emba,CY,2019-11-11 01:30:34,34.81,32.42,64.4,45,0,10.29,clear sky,0.0,0.0
36,Matay,EG,2019-11-11 01:30:35,28.42,30.79,63.77,75,0,12.86,clear sky,0.0,0.0
37,Ayan,IR,2019-11-11 01:30:36,38.23,44.7,28.45,31,0,1.05,clear sky,0.0,0.0
38,Jumla,NP,2019-11-11 01:30:40,29.28,82.18,50.97,30,37,1.36,scattered clouds,0.0,0.0
39,Keskin,TR,2019-11-11 01:30:42,39.67,33.62,53.01,45,2,1.99,clear sky,0.0,0.0
40,Griffith,AU,2019-11-11 01:30:43,-34.29,146.06,81.0,25,2,12.75,clear sky,0.0,0.0
41,Hualmay,PE,2019-11-11 01:30:45,-11.1,-77.61,62.6,82,61,3.0,broken clouds,0.0,0.0
42,Bilma,NE,2019-11-11 01:30:48,18.69,12.92,75.56,16,100,8.37,overcast clouds,0.0,0.0
43,Esperance,AU,2019-11-11 01:30:38,-33.86,121.89,59.0,58,90,14.99,overcast clouds,0.0,0.0
44,Kavaratti,IN,2019-11-11 01:30:51,10.57,72.64,81.34,74,13,8.39,few clouds,0.0,0.0
45,Wencheng,CN,2019-11-11 01:30:53,27.79,120.09,69.33,42,2,1.52,clear sky,0.0,0.0
46,Mareeba,AU,2019-11-11 01:30:55,-16.99,145.42,91.0,58,32,10.36,scattered clouds,0.0,0.0
47,Maba,CN,2019-11-11 01:30:58,24.68,113.59,74.88,39,0,3.24,clear sky,0.0,0.0
48,Grants,US,2019-11-11 01:31:08,35.15,-107.85,50.0,43,1,3.36,clear sky,0.0,0.0
49,Swan River,CA,2019-11-11 01:31:10,52.11,-101.27,2.75,84,100,8.88,overcast clouds,0.0,0.0
50,Pisco,PE,2019-11-11 01:31:14,-13.71,-76.2,66.2,82,90,3.36,overcast clouds,0.0,0.0
51,Chaozhou,CN,2019-11-11 01:31:15,23.66,116.62,68.0,64,3,4.47,clear sky,0.0,0.0
52,Vila Do Maio,CV,2019-11-11 01:31:15,15.13,-23.22,75.2,78,20,16.11,few clouds,0.0,0.0
53,Cairns,AU,2019-11-11 01:30:23,-16.92,145.77,87.01,58,33,10.25,scattered clouds,0.0,0.0
54,Horsham,AU,2019-11-11 01:31:18,-36.71,142.2,85.24,16,17,14.45,few clouds,0.0,0.0
55,Maine-Soroa,NE,2019-11-11 01:31:25,13.21,12.02,80.78,17,100,7.02,overcast clouds,0.0,0.0
56,Paramonga,PE,2019-11-11 01:31:28,-10.68,-77.82,61.95,92,35,8.23,scattered clouds,0.0,0.0
57,Bahar,IR,2019-11-11 01:31:34,34.91,48.44,24.8,73,0,2.95,clear sky,0.0,0.0
58,Nioro,GM,2019-11-11 01:31:43,13.79,-15.05,79.65,26,39,5.06,scattered clouds,0.0,0.0
59,Tanout,NE,2019-11-11 01:31:44,14.97,8.88,80.11,16,92,4.74,overcast clouds,0.0,0.0
60,Maham,IN,2019-11-11 01:31:44,28.97,76.3,69.12,24,100,2.75,overcast clouds,0.0,0.0
61,Sao Filipe,CV,2019-11-11 01:31:48,14.9,-24.5,74.57,82,34,17.72,scattered clouds,0.0,0.0
62,El Carrizo,MX,2019-11-11 01:31:49,28.21,-110.84,82.4,48,90,2.82,overcast clouds,0.0,0.0
63,Itanhem,BR,2019-11-11 01:31:50,-17.17,-40.33,65.89,93,22,4.74,few clouds,0.0,0.0
64,Bukachacha,RU,2019-11-11 01:31:53,52.99,116.91,9.23,52,0,11.25,clear sky,0.0,0.0
65,Lasa,CY,2019-11-11 01:31:54,34.92,32.53,64.4,45,0,10.29,clear sky,0.0,0.0
66,Liuli,TZ,2019-11-11 01:31:55,-11.1,34.65,80.49,65,100,10.6,overcast clouds,0.0,0.0
67,Posse,BR,2019-11-11 01:32:01,-14.08,-46.36,77.76,44,12,4.0,few clouds,0.0,0.0
68,Gat,SN,2019-11-11 01:32:17,14.69,-16.54,77.0,83,100,13.87,overcast clouds,0.0,0.0
69,Sayyan,YE,2019-11-11 01:32:18,15.17,44.32,50.36,49,0,4.81,clear sky,0.0,0.0
70,Kholm,AF,2019-11-11 01:32:19,36.69,67.7,42.8,63,5,2.24,clear sky,0.0,0.0
71,Waingapu,ID,2019-11-11 01:32:20,-9.65,120.26,82.02,73,0,1.23,clear sky,0.0,0.0
72,Namibe,AO,2019-11-11 01:32:29,-15.19,12.15,74.86,86,0,12.73,clear sky,0.0,0.0
73,Charters Towers,AU,2019-11-11 01:32:32,-20.07,146.27,94.6,15,55,9.04,broken clouds,0.0,0.0
74,Rabak,SD,2019-11-11 01:32:34,13.18,32.74,77.07,17,0,11.7,clear sky,0.0,0.0
75,Biltine,TD,2019-11-11 01:32:40,14.53,20.93,73.11,19,0,10.67,clear sky,0.0,0.0
76,Dubai,AE,2019-11-11 01:31:46,25.27,55.3,69.8,73,0,4.7,clear sky,0.0,0.0
77,Uspenka,UA,2019-11-11 01:32:46,48.39,39.16,40.78,95,31,6.87,scattered clouds,0.0,0.0
78,Kathu,ZA,2019-11-11 01:32:56,-27.7,23.05,63.0,33,47,10.83,scattered clouds,0.0,0.0
79,Shubarshi,KZ,2019-11-11 01:33:08,48.59,57.19,29.03,91,0,7.87,clear sky,0.0,0.0
80,Garowe,SO,2019-11-11 01:33:10,8.41,48.48,70.59,78,2,5.48,clear sky,0.0,0.0
81,Palmer,AU,2019-11-11 01:33:14,-34.85,139.16,88.0,14,0,25.28,clear sky,0.0,0.0
82,Aktau,KZ,2019-11-11 01:33:16,43.65,51.16,44.6,70,73,15.66,broken clouds,0.0,0.0
83,Bethanien,NA,2019-11-11 01:33:17,-26.5,17.16,57.99,50,87,4.23,overcast clouds,0.0,0.0
84,Novobohdanivka,UA,2019-11-11 01:33:19,47.09,35.33,47.48,94,9,10.22,clear sky,0.0,0.0
85,Lenine,UA,2019-11-11 01:33:30,45.3,35.78,57.11,84,0,9.93,clear sky,0.0,0.0
86,Gerede,TR,2019-11-11 01:33:31,40.8,32.2,50.61,46,15,5.37,few clouds,0.0,0.0
87,Daura,NG,2019-11-11 01:33:32,13.04,8.32,75.56,28,95,2.01,overcast clouds,0.0,0.0
88,Geri,CN,2019-11-11 01:33:33,35.67,100.55,34.0,46,0,3.42,clear sky,0.0,0.0
89,Primorskiy,RU,2019-11-11 01:33:34,45.26,36.91,42.8,87,0,6.71,clear sky,0.0,0.0
90,Huarmey,PE,2019-11-11 01:33:36,-10.07,-78.15,62.02,85,22,2.01,few clouds,0.0,0.0
91,Sacramento,US,2019-11-11 01:33:37,38.58,-121.49,73.4,34,1,3.36,clear sky,0.0,0.0
92,Krasnokamensk,RU,2019-11-11 01:33:42,50.1,118.04,20.73,29,0,18.21,clear sky,0.0,0.0
93,Oranjemund,ZA,2019-11-11 01:33:44,-28.55,16.43,57.13,87,0,7.74,clear sky,0.0,0.0
94,Ghatsila,IN,2019-11-11 01:33:45,22.65,86.41,69.8,88,0,2.24,mist,0.0,0.0
95,Itarema,BR,2019-11-11 01:33:49,-2.92,-39.92,76.48,84,75,8.19,broken clouds,0.0,0.0
96,Kadoshkino,RU,2019-11-11 01:33:53,54.03,44.42,33.89,95,100,8.99,overcast clouds,0.0,0.0
97,Mildura,AU,2019-11-11 01:33:54,-34.18,142.16,84.99,11,0,14.99,clear sky,0.0,0.0
98,Pipri,IN,2019-11-11 01:33:55,24.21,83.02,71.74,60,0,4.76,clear sky,0.0,0.0
99,Sindou,BF,2019-11-11 01:33:59,10.66,-5.16,75.43,55,49,3.11,scattered clouds,0.0,0.0
100,Encruzilhada,BR,2019-11-11 01:34:05,-15.53,-40.91,62.22,96,29,3.89,scattered clouds,0.0,0.0
101,Calvinia,ZA,2019-11-11 01:34:05,-31.47,19.78,56.57,66,8,4.9,clear sky,0.0,0.0
102,Umm Lajj,SA,2019-11-11 01:34:10,25.02,37.27,79.14,43,100,2.17,overcast clouds,0.0,0.0
103,Marzuq,YE,2019-11-11 01:34:11,14.4,46.47,61.77,70,0,1.54,clear sky,0.0,0.0
104,Rassvet,RU,2019-11-11 01:34:17,49.11,45.47,39.45,97,16,8.57,few clouds,0.0,0.0
105,Pahrump,US,2019-11-11 01:34:17,36.21,-115.98,73.4,8,1,3.11,clear sky,0.0,0.0
106,Clarence Town,AU,2019-11-11 01:34:21,-32.59,151.78,82.0,38,2,8.05,clear sky,0.0,0.0
107,Reno,US,2019-11-11 01:31:21,39.53,-119.81,62.6,18,1,5.82,clear sky,0.0,0.0
108,Port Hedland,AU,2019-11-11 01:34:25,-20.31,118.58,96.8,19,2,3.36,clear sky,0.0,0.0
109,Abalak,NE,2019-11-11 01:34:25,15.46,6.28,79.59,16,100,4.83,overcast clouds,0.0,0.0
110,Hirapur,IN,2019-11-11 01:34:29,24.37,79.21,73.45,47,0,2.95,clear sky,0.0,0.0
111,Tutoia,BR,2019-11-11 01:34:32,-2.76,-42.27,73.65,91,20,4.74,few clouds,0.0,0.0
112,Beian,NO,2019-11-11 01:34:32,63.66,9.57,26.6,68,75,16.11,broken clouds,0.0,0.0
113,Mudgee,AU,2019-11-11 01:34:34,-32.6,149.59,75.0,28,0,6.93,clear sky,0.0,0.0
114,Prieska,ZA,2019-11-11 01:34:36,-29.67,22.74,61.38,27,65,2.53,broken clouds,0.0,0.0
115,Nishihara,JP,2019-11-11 01:34:39,35.74,139.53,59.0,93,75,4.7,broken clouds,0.0,0.0
116,Kununurra,AU,2019-11-11 01:34:40,-15.77,128.74,95.0,39,24,5.82,few clouds,0.0,0.0
117,Atar,MR,2019-11-11 01:34:45,20.52,-13.05,70.18,19,0,12.15,clear sky,0.0,0.0
118,Barentu,ER,2019-11-11 01:34:45,15.11,37.59,73.78,40,0,0.49,clear sky,0.0,0.0
119,Broken Hill,AU,2019-11-11 01:34:46,-31.97,141.45,78.8,12,0,14.99,clear sky,0.0,0.0
120,Ukiah,US,2019-11-11 01:34:49,39.15,-123.21,66.99,46,0,3.24,clear sky,0.0,0.0
121,Kontagora,NG,2019-11-11 01:34:53,10.4,5.47,75.06,50,61,2.17,broken clouds,0.0,0.0
122,Takanabe,JP,2019-11-11 01:34:53,32.13,131.49,69.8,52,20,17.22,few clouds,0.0,0.0
123,Maningrida,AU,2019-11-11 01:34:54,-12.05,134.23,97.83,27,0,11.81,clear sky,0.0,0.0
124,Najran,SA,2019-11-11 01:34:56,17.54,44.22,62.6,39,0,3.11,clear sky,0.0,0.0
125,Santa Barbara,US,2019-11-11 01:33:18,34.42,-119.7,64.99,77,1,6.93,clear sky,0.0,0.0
126,Kupang,ID,2019-11-11 01:35:08,-10.16,123.6,87.8,55,20,6.93,few clouds,0.0,0.0
127,Lichinga,MZ,2019-11-11 01:35:10,-13.3,35.25,67.14,78,88,3.13,overcast clouds,0.0,0.0
